Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Normal,2,0,0,12,105.44109893049307,66,98.16902994659527,68,4370,14.876145362854004,19
Spaced,2,0,0.5,12,101.29788035263772,59,92.96286945953882,61,2797,11.314192056655884,19
Greedy,2,0.37,0,12,106.96527291861163,62,95.13110604523978,64,2335,7.167906045913696,19
Speedy,2,0.37,0.5,12,98.37980375276223,60,87.32006448267407,62,1182,4.8538312911987305,19
Normal,2,0,0,12,113.43844681734348,67,100.7854560455586,69,3048,8.592916250228882,19
Spaced,2,0,0.5,12,104.20521904730589,59,95.86472371971963,61,2275,8.777220726013184,19
Greedy,2,0.37,0,12,111.63338063090546,67,100.00567666965584,69,3044,10.171397686004639,19
Speedy,2,0.37,0.5,12,94.92427073570362,50,88.66073474538298,52,257,1.194091796875,19
Normal,2,0,0,12,102.95578978034025,56,94.3232794996603,58,1531,3.519925355911255,19
Spaced,2,0,0.5,12,98.67493644615458,55,90.14389255718041,57,1371,4.405891180038452,19
Greedy,2,0.37,0,12,91.92224220798099,48,83.51273358385467,50,894,1.8790647983551025,19
Speedy,2,0.37,0.5,12,102.94550289547284,57,95.35795755562596,59,1196,4.227425813674927,19
Normal,2,0,0,12,106.9156338845176,59,96.25802195532185,61,2112,5.336618900299072,19
Spaced,2,0,0.5,12,97.91603409204986,58,90.24982790000344,60,1720,6.178035020828247,19
Greedy,2,0.37,0,12,101.71477928091568,55,92.89826134759726,57,1759,4.813042640686035,19
Speedy,2,0.37,0.5,12,102.3705775611795,57,94.31105533808518,59,1823,8.272267580032349,19
Normal,2,0,0,12,101.2940911487837,58,93.72231847621376,60,3060,8.43287706375122,19
Spaced,2,0,0.5,12,98.69644808866286,53,88.84044575068741,55,1444,4.862563371658325,19
Greedy,2,0.37,0,12,107.02200877074233,63,97.34608934885507,65,2154,6.028759956359863,19
Speedy,2,0.37,0.5,12,103.68787041368181,66,94.70565054000033,68,2415,10.38043761253357,19
Normal,2,0,0,12,112.74237947938585,61,99.80637874999732,63,607,1.3759939670562744,19
Spaced,2,0,0.5,12,105.32074533239782,64,95.92714866430248,66,2865,11.532134294509888,19
Greedy,2,0.37,0,12,105.44170481304046,64,96.29236381298111,66,3874,15.04512643814087,19
Speedy,2,0.37,0.5,12,108.76489377682817,64,99.13725989606996,66,1987,8.64617395401001,19
Normal,2,0,0,12,99.59565545173109,58,92.14454236412335,60,3513,10.37563967704773,19
Spaced,2,0,0.5,12,106.05004529629144,59,96.98355087607104,61,1315,4.180393695831299,19
Greedy,2,0.37,0,12,107.74406702115762,61,98.60918554390457,63,3416,11.720146417617798,19
Speedy,2,0.37,0.5,12,103.01329992691927,61,92.12766902068189,63,1880,7.977999925613403,19
Normal,2,0,0,12,113.9125605519811,73,106.2720404371651,75,5673,22.0655779838562,19
Spaced,2,0,0.5,12,98.83774432862957,53,90.76683149083931,55,739,2.268209218978882,19
Greedy,2,0.37,0,12,91.61816837226223,51,82.74644107179115,53,846,2.028886318206787,19
Speedy,2,0.37,0.5,12,108.77448411325302,68,100.24972421564794,70,2406,11.28580641746521,19
Normal,2,0,0,12,114.03456778676313,70,103.76883109435967,72,4637,16.451534032821655,19
Spaced,2,0,0.5,12,100.58498615379007,55,92.98079989194873,57,821,3.3624308109283447,19
